"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","SEC24A:FAM180B","chr5",134028347,"chr11",47609303,Inf,"5056",3058,FALSE,TRUE,TRUE,"Locus_1_Transcript_1423/5676_Confidence_0.000_Length_1714",953,"HighConfidence","-"
"jaffa-direct","NF2:ZNF682","chr22",30074312,"chr19",20118084,Inf,"4814",2881,FALSE,TRUE,TRUE,"Locus_1_Transcript_1820/5676_Confidence_0.000_Length_1770",1509,"HighConfidence","-"
"jaffa-direct","ZNF619:TMPRSS15","chr3",40524195,"chr21",19687573,Inf,"4230",2668,TRUE,TRUE,TRUE,"Locus_1_Transcript_5673/5676_Confidence_0.001_Length_2214",1403,"HighConfidence","-"
"jaffa-direct","ALOX15B:KCNA2","chr17",7948702,"chr1",111144792,Inf,"4143",2582,TRUE,TRUE,TRUE,"Locus_1_Transcript_3577/5676_Confidence_0.000_Length_1268",321,"HighConfidence","-"
"jaffa-direct","C11orf86:TAF11","chr11",66743109,"chr6",34846497,Inf,"4050",2564,FALSE,TRUE,TRUE,"Locus_513_Transcript_11/13_Confidence_0.364_Length_1138",789,"HighConfidence","-"
"jaffa-direct","UBXN2B:KCTD1","chr8",59345802,"chr18",24081214,Inf,"3998",2487,TRUE,TRUE,TRUE,"Locus_470_Transcript_2/4_Confidence_0.400_Length_1134",711,"HighConfidence","-"
"jaffa-direct","PCMT1:PTPLA","chr6",150071092,"chr10",17636382,Inf,"3878",2469,FALSE,TRUE,TRUE,"Locus_1080_Transcript_11/16_Confidence_0.172_Length_486",260,"HighConfidence","-"
"jaffa-direct","LONP1:TXLNA","chr19",5707708,"chr1",32653555,Inf,"3941",2371,TRUE,TRUE,TRUE,"Locus_1_Transcript_1312/5676_Confidence_0.001_Length_5557",1379,"HighConfidence","-"
"jaffa-direct","NDUFA5:SSPN","chr7",123185665,"chr12",26383644,Inf,"3843",2254,TRUE,TRUE,TRUE,"Locus_705_Transcript_6/15_Confidence_0.233_Length_1020",607,"HighConfidence","-"
"jaffa-direct","AOAH:KLHL22","chr7",36763627,"chr22",20843531,Inf,"3677",2315,FALSE,TRUE,TRUE,"Locus_57_Transcript_7/41_Confidence_0.033_Length_613",408,"HighConfidence","-"
"jaffa-direct","PTTG1:WASF1","chr5",159849900,"chr6",110429884,Inf,"3626",2222,FALSE,TRUE,TRUE,"Locus_1_Transcript_829/5676_Confidence_0.000_Length_2545",350,"HighConfidence","-"
"jaffa-direct","GNL3L:MARCO","chrX",54574806,"chr2",119727690,Inf,"3364",2028,TRUE,TRUE,TRUE,"Locus_1_Transcript_1516/5676_Confidence_0.000_Length_423",223,"HighConfidence","-"
"jaffa-direct","C19orf60:RALYL","chr19",18701743,"chr8",85762215,Inf,"3261",2043,TRUE,TRUE,TRUE,"Locus_44_Transcript_4/17_Confidence_0.341_Length_1057",752,"HighConfidence","-"
"jaffa-direct","CKMT1A:MAGEA12","chr15",43988107,"chrX",151900875,Inf,"3103",1884,TRUE,TRUE,TRUE,"Locus_503_Transcript_41/44_Confidence_0.235_Length_2266",1546,"HighConfidence","-"
"jaffa-direct","SMAGP:RPLP0","chr12",51663029,"chr12",120635265,68972.232,"3108",1773,FALSE,TRUE,TRUE,"Locus_1_Transcript_5336/5676_Confidence_0.000_Length_1040",847,"HighConfidence","-"
"jaffa-direct","FARS2:KIR3DL2","chr6",5613553,"chr19",55363453,Inf,"2961",1749,FALSE,TRUE,TRUE,"Locus_1_Transcript_3225/5676_Confidence_0.001_Length_3119",1605,"HighConfidence","-"
"jaffa-direct","NPIPA7:KISS1R","chr16",16485808,"chr19",919490,Inf,"2833",1855,TRUE,TRUE,TRUE,"Locus_286_Transcript_27/31_Confidence_0.219_Length_1778",1325,"HighConfidence","-"
"jaffa-direct","LYPLA1:ZNF365","chr8",54967620,"chr10",64382863,Inf,"2679",1668,TRUE,TRUE,TRUE,"Locus_170_Transcript_14/22_Confidence_0.438_Length_2071",1853,"HighConfidence","-"
"jaffa-direct","RFPL1:MRPS23","chr22",29835153,"chr17",55917296,Inf,"2531",1578,FALSE,TRUE,TRUE,"Locus_901_Transcript_1/7_Confidence_0.160_Length_383",166,"HighConfidence","-"
"jaffa-direct","NOL11:HHAT","chr17",65732870,"chr1",210847630,Inf,"2372",1418,FALSE,TRUE,TRUE,"Locus_1_Transcript_2111/5676_Confidence_0.001_Length_2583",2009,"HighConfidence","-"
"jaffa-direct","PYGB:VAX1","chr20",25261748,"chr10",118894094,Inf,"2142",1343,FALSE,TRUE,TRUE,"Locus_1_Transcript_4380/5676_Confidence_0.002_Length_2686",1211,"HighConfidence","-"
"jaffa-direct","DUSP1:UBA3","chr5",172197164,"chr3",69105966,Inf,"2168",1304,FALSE,TRUE,TRUE,"Locus_154_Transcript_7/16_Confidence_0.281_Length_1157",406,"HighConfidence","-"
"jaffa-direct","CASS4:CYP26B1","chr20",55028185,"chr2",72362548,Inf,"2127",946,TRUE,TRUE,TRUE,"Locus_295_Transcript_26/30_Confidence_0.531_Length_2300",2180,"HighConfidence","-"
"jaffa-direct","TERF2:CST9","chr16",69402279,"chr20",23584371,Inf,"2248",813,FALSE,TRUE,TRUE,"Locus_1_Transcript_890/5676_Confidence_0.000_Length_280",178,"HighConfidence","-"
"jaffa-direct","SYNGR1:ASB11","chr22",39772202,"chrX",15307760,Inf,"1751",1091,FALSE,TRUE,TRUE,"Locus_1_Transcript_5009/5676_Confidence_0.001_Length_1457",454,"HighConfidence","-"
